month,channel,spend_usd
2023-09,Content & SEO,14235.65
2023-09,Partner Program,9845.85
2023-09,Outbound SDR,30715.92
2023-10,Paid Search,45831.31
2023-10,Paid Social,22995.22
2023-10,Events & Sponsorships,19050.20
2023-10,Content & SEO,16161.65
2023-10,Partner Program,12081.94
2023-10,Outbound SDR,23480.39
2023-11,Paid Search,36701.37
2023-11,Paid Social,19212.85
2023-11,Events & Sponsorships,18725.24
2023-11,Content & SEO,15100.07
2023-11,Partner Program,9932.02
2023-11,Outbound SDR,28443.38
2023-12,Paid Search,29646.51
2023-12,Paid Social,13404.79
2023-12,Events & Sponsorships,12505.56
2023-12,Content & SEO,10623.10
2023-12,Partner Program,7745.78
2023-12,Outbound SDR,16697.93
2024-01,Paid Search,46903.90
2024-01,Paid Social,25455.19
2024-01,Events & Sponsorships,21459.43
2024-01,Content & SEO,16777.51
2024-01,Partner Program,7918.27
2024-01,Outbound SDR,26938.27
2024-02,Paid Search,45358.59
2024-02,Paid Social,25000.38
2024-02,Events & Sponsorships,21307.45
2024-02,Content & SEO,15093.69
2024-02,Partner Program,8827.46
2024-02,Outbound SDR,32985.86
2024-03,Paid Search,59618.32
2024-03,Paid Social,27275.39
2024-03,Events & Sponsorships,26890.52
2024-03,Content & SEO,21375.36
2024-03,Partner Program,10103.15
2024-03,Outbound SDR,29450.13
2024-04,Paid Search,50075.39
2024-04,Paid Social,26906.48
2024-04,Events & Sponsorships,22864.32
2024-04,Content & SEO,12147.54
2024-04,Partner Program,8697.75
2024-04,Outbound SDR,22523.66
2024-05,Paid Search,33851.86
2024-05,Paid Social,25197.70
2024-05,Events & Sponsorships,16420.10
2024-05,Content & SEO,13497.03
2024-05,Partner Program,10995.22
2024-05,Outbound SDR,29560.61
2024-06,Paid Search,45315.45
2024-06,Paid Social,21717.89
2024-06,Events & Sponsorships,22366.86
2024-06,Content & SEO,15890.39
2024-06,Partner Program,9853.28
2024-06,Outbound SDR,26036.25
2024-07,Paid Search,38914.14
2024-07,Paid Social,15331.73
2024-07,Events & Sponsorships,15952.15
2024-07,Content & SEO,11299.85
2024-07,Partner Program,8231.24
2024-07,Outbound SDR,19177.06
2024-08,Paid Search,52706.21
2024-08,Paid Social,22904.61
2024-08,Events & Sponsorships,20387.74
2024-08,Content & SEO,14307.43
2024-08,Partner Program,10013.59
2024-08,Outbound SDR,32324.92
2024-09,Paid Search,50908.30
2024-09,Paid Social,30370.71
2024-09,Events & Sponsorships,25422.39
2024-09,Content & SEO,17354.61
2024-09,Partner Program,12978.35
2024-09,Outbound SDR,28225.37
2024-10,Paid Search,61696.17
2024-10,Paid Social,31989.81
2024-10,Events & Sponsorships,29969.48
2024-10,Content & SEO,18786.62
2024-10,Partner Program,12689.45
2024-10,Outbound SDR,33442.36
2024-11,Paid Search,42110.24
2024-11,Paid Social,23644.08
2024-11,Events & Sponsorships,25073.07
2024-11,Content & SEO,13441.58
2024-11,Partner Program,11820.44
2024-11,Outbound SDR,34290.72
2024-12,Paid Search,40836.26
2024-12,Paid Social,15522.18
2024-12,Events & Sponsorships,18820.89
2024-12,Content & SEO,12760.44
2024-12,Partner Program,8394.83
2024-12,Outbound SDR,16333.15
2025-01,Paid Search,49101.54
2025-01,Paid Social,24783.75
2025-01,Events & Sponsorships,20530.89
2025-01,Content & SEO,19796.35
2025-01,Partner Program,11754.98
2025-01,Outbound SDR,24824.56
2025-02,Paid Search,54458.55
2025-02,Paid Social,38751.61
2025-02,Events & Sponsorships,21513.28
2025-02,Content & SEO,16015.59
2025-02,Partner Program,11953.76
2025-02,Outbound SDR,35703.48
2025-03,Paid Search,55437.03
2025-03,Paid Social,29747.47
2025-03,Events & Sponsorships,28703.07
2025-03,Content & SEO,21293.34
2025-03,Partner Program,15071.33
2025-03,Outbound SDR,37201.44
2025-04,Paid Search,59434.33
2025-04,Paid Social,25839.48
2025-04,Events & Sponsorships,26540.40
2025-04,Content & SEO,14670.01
2025-04,Partner Program,10936.02
2025-04,Outbound SDR,24934.54
2025-05,Paid Search,47114.27
2025-05,Paid Social,30617.37
2025-05,Events & Sponsorships,22573.36
2025-05,Content & SEO,19528.29
2025-05,Partner Program,9068.66
2025-05,Outbound SDR,25270.59
2025-06,Paid Search,38669.62
2025-06,Paid Social,31221.11
2025-06,Events & Sponsorships,23701.63
2025-06,Content & SEO,20411.21
2025-06,Partner Program,10705.94
2025-06,Outbound SDR,37454.85
2025-07,Paid Search,34069.81
2025-07,Paid Social,23983.46
2025-07,Events & Sponsorships,13450.75
2025-07,Content & SEO,13325.08
2025-07,Partner Program,9633.23
2025-07,Outbound SDR,26539.93
2025-08,Paid Search,43043.35
2025-08,Paid Social,34210.34
2025-08,Events & Sponsorships,26214.29
2025-08,Content & SEO,16351.26
2025-08,Partner Program,10794.31
2025-08,Outbound SDR,32011.40
2025-09,Paid Search,53128.01
2025-09,Paid Social,33919.30
2025-09,Events & Sponsorships,31363.21
2025-09,Content & SEO,18773.76
2025-09,Partner Program,11985.88
2025-09,Outbound SDR,41915.18
2025-10,Paid Search,69434.04
2025-10,Paid Social,29663.22
2025-10,Events & Sponsorships,22540.69
2025-10,Content & SEO,24855.16
2025-10,Partner Program,16444.36
2025-10,Outbound SDR,35657.43
2025-11,Paid Search,42764.46
2025-11,Paid Social,31136.51
2025-11,Events & Sponsorships,22130.44
2025-11,Content & SEO,19356.21
2025-11,Partner Program,12876.47
2025-11,Outbound SDR,28821.96
2025-12,Paid Search,40776.90
2025-12,Paid Social,26488.59
2025-12,Events & Sponsorships,17758.74
2025-12,Content & SEO,16733.63
2025-12,Partner Program,10078.38
2025-12,Outbound SDR,28326.96
2026-01,Paid Search,54024.07
2026-01,Paid Social,25400.56
2026-01,Events & Sponsorships,23708.99
2026-01,Content & SEO,19898.20
2026-01,Partner Program,14051.63
2026-01,Outbound SDR,33685.10
2026-02,Paid Search,62259.51
2026-02,Paid Social,29999.71
2026-02,Events & Sponsorships,25145.59
2026-02,Content & SEO,22861.44
2026-02,Partner Program,14698.69
2026-02,Outbound SDR,38487.86
2026-03,Paid Search,80946.70
2026-03,Paid Social,44782.22
2026-03,Events & Sponsorships,31391.61
2026-03,Content & SEO,21236.87
2026-03,Partner Program,12104.74
2026-03,Outbound SDR,36024.11
2026-04,Paid Search,46691.01
2026-04,Paid Social,34462.60
2026-04,Events & Sponsorships,28279.14
2026-04,Content & SEO,20920.60
2026-04,Partner Program,13014.66
2026-04,Outbound SDR,35667.53
2026-05,Paid Search,53016.84
2026-05,Paid Social,23807.77
2026-05,Events & Sponsorships,20786.21
2026-05,Content & SEO,18968.74
2026-05,Partner Program,13727.90
2026-05,Outbound SDR,38339.71
2026-06,Paid Search,58066.93
2026-06,Paid Social,35983.56
2026-06,Events & Sponsorships,21023.21
2026-06,Content & SEO,21431.07
2026-06,Partner Program,11361.69
2026-06,Outbound SDR,27921.40
2026-07,Paid Search,49374.13
2026-07,Paid Social,27751.56
2026-07,Events & Sponsorships,19820.34
2026-07,Content & SEO,18167.63
2026-07,Partner Program,10464.74
2026-07,Outbound SDR,31334.71
2026-08,Paid Search,50731.60
2026-08,Paid Social,32263.66
2026-08,Events & Sponsorships,26078.22
2026-08,Content & SEO,22925.94
2026-08,Partner Program,10351.40
2026-08,Outbound SDR,33709.18
