invoice_id,customer_ref,invoice_date,amount_usd,status,currency
in_000000066,cus_000000500008,2025-06-25,253.78,paid,USD
in_000000067,cus_000000500008,2025-07-27,221.93,paid,USD
in_000000068,cus_000000500008,2025-08-24,258.82,paid,USD
in_000000069,cus_000000500008,2025-09-25,224.86,paid,USD
in_000000070,cus_000000500008,2025-10-26,227.20,paid,USD
in_000000071,cus_000000500008,2025-11-22,257.16,paid,USD
in_000000072,cus_000000500008,2025-12-24,249.38,paid,USD
in_000000073,cus_000000500008,2026-01-22,263.07,paid,USD
in_000000074,cus_000000500008,2026-02-20,261.76,paid,USD
in_000000075,cus_000000500008,2026-03-19,258.95,paid,USD
in_000000076,cus_000000500008,2026-04-21,235.19,paid,USD
in_000000077,cus_000000500008,2026-05-21,223.74,paid,USD
in_000000078,cus_000000500008,2026-06-21,261.13,paid,USD
in_000000079,cus_000000500008,2026-07-18,232.82,paid,USD
in_000000080,cus_000000500008,2026-08-18,221.58,paid,USD
in_000000081,cus_000000500009,2026-05-15,976.75,paid,USD
in_000000082,cus_000000500009,2026-06-13,1039.31,paid,USD
in_000000083,cus_000000500009,2026-07-11,986.92,paid,USD
in_000000084,cus_000000500009,2026-08-10,1121.83,paid,USD
in_000000085,cus_000000500011,2025-04-13,15808.99,paid,USD
in_000000086,cus_000000500011,2026-04-16,14494.89,paid,USD
in_000000087,cus_000000500012,2024-03-13,305.91,paid,USD
in_000000088,cus_000000500012,2024-04-11,313.60,paid,USD
in_000000089,cus_000000500012,2024-05-12,322.57,paid,USD
in_000000090,cus_000000500012,2024-06-10,279.32,paid,USD
in_000000091,cus_000000500012,2024-07-12,277.29,paid,USD
in_000000092,cus_000000500012,2024-08-09,297.64,paid,USD
in_000000093,cus_000000500012,2024-09-09,308.12,paid,USD
in_000000094,cus_000000500012,2024-10-12,273.54,paid,USD
in_000000095,cus_000000500012,2024-11-11,273.33,paid,USD
in_000000096,cus_000000500012,2024-12-08,275.64,paid,USD
in_000000097,cus_000000500012,2025-01-04,298.98,paid,USD
in_000000098,cus_000000500013,2024-08-05,464.27,paid,USD
in_000000099,cus_000000500013,2024-09-06,460.80,paid,USD
in_000000100,cus_000000500013,2024-10-08,440.01,paid,USD
in_000000101,cus_000000500013,2024-11-09,389.90,paid,USD
in_000000102,cus_000000500013,2024-12-08,394.54,paid,USD
in_000000103,cus_000000500013,2025-01-09,423.66,paid,USD
in_000000104,cus_000000500013,2025-02-07,428.85,paid,USD
in_000000105,cus_000000500013,2025-03-10,428.81,paid,USD
in_000000106,cus_000000500013,2025-04-11,419.33,void,USD
in_000000107,cus_000000500013,2025-05-10,422.85,refunded,USD
in_000000108,cus_000000500013,2025-06-12,451.53,paid,USD
in_000000109,cus_000000500013,2025-07-09,387.27,paid,USD
in_000000110,cus_000000500013,2025-08-09,380.29,paid,USD
in_000000111,cus_000000500013,2025-09-10,405.81,paid,USD
in_000000112,cus_000000500013,2025-10-11,411.92,void,USD
in_000000113,cus_000000500014,2023-10-20,838.80,paid,USD
in_000000114,cus_000000500014,2023-11-17,782.81,paid,USD
in_000000115,cus_000000500014,2023-12-15,898.67,paid,USD
in_000000116,cus_000000500014,2024-01-16,821.47,paid,USD
in_000000117,cus_000000500014,2024-02-18,751.87,paid,USD
in_000000118,cus_000000500014,2024-03-16,860.89,paid,USD
in_000000119,cus_000000500014,2024-04-14,783.07,paid,USD
in_000000120,cus_000000500014,2024-05-16,842.75,paid,USD
in_000000121,cus_000000500014,2024-06-18,765.96,paid,USD
in_000000122,cus_000000500014,2024-07-17,903.31,paid,USD
in_000000123,cus_000000500014,2024-08-18,762.55,paid,USD
in_000000124,cus_000000500014,2024-09-14,745.77,paid,USD
in_000000125,cus_000000500014,2024-10-11,814.27,void,USD
in_000000126,cus_000000500014,2024-11-12,904.86,paid,USD
in_000000127,cus_000000500014,2024-12-13,818.02,paid,USD
in_000000128,cus_000000500014,2025-01-10,750.01,paid,USD
in_000000129,cus_000000500014,2025-02-11,905.85,paid,USD
in_000000130,cus_000000500014,2025-03-15,833.63,paid,USD
in_000000131,cus_000000500014,2025-04-12,867.93,paid,USD
in_000000132,cus_000000500014,2025-05-12,813.26,paid,USD
in_000000133,cus_000000500014,2025-06-09,878.59,paid,USD
in_000000134,cus_000000500014,2025-07-12,884.76,paid,USD
in_000000135,cus_000000500014,2025-08-12,758.49,paid,USD
in_000000136,cus_000000500014,2025-09-10,848.53,paid,USD
in_000000137,cus_000000500014,2025-10-11,835.91,paid,USD
in_000000138,cus_000000500014,2025-11-09,796.64,void,USD
in_000000139,cus_000000500014,2025-12-12,837.81,paid,USD
in_000000140,cus_000000500015,2023-07-03,4874.73,paid,USD
in_000000141,cus_000000500015,2023-08-04,4688.20,paid,USD
in_000000142,cus_000000500015,2023-09-02,4217.98,void,USD
in_000000143,cus_000000500015,2023-10-02,4362.82,paid,USD
in_000000144,cus_000000500015,2023-11-03,4191.81,paid,USD
in_000000145,cus_000000500015,2023-12-06,4701.28,paid,USD
in_000000146,cus_000000500015,2024-01-07,4586.47,paid,USD
in_000000147,cus_000000500015,2024-02-05,4188.62,paid,USD
in_000000148,cus_000000500015,2024-03-03,4593.35,paid,USD
in_000000149,cus_000000500015,2024-04-02,4209.67,paid,USD
in_000000150,cus_000000500015,2024-04-29,4263.15,paid,USD
in_000000151,cus_000000500015,2024-05-31,4949.88,paid,USD
in_000000152,cus_000000500015,2024-06-30,5033.78,paid,USD
in_000000153,cus_000000500015,2024-07-28,4385.81,paid,USD
in_000000154,cus_000000500015,2024-08-27,4368.76,paid,USD
in_000000155,cus_000000500015,2024-09-29,4537.13,paid,USD
in_000000156,cus_000000500015,2024-10-29,4262.19,paid,USD
in_000000157,cus_000000500015,2024-11-28,5005.07,paid,USD
in_000000158,cus_000000500015,2024-12-28,5041.08,paid,USD
in_000000159,cus_000000500015,2025-01-30,4283.22,paid,USD
in_000000160,cus_000000500015,2025-03-03,4688.64,paid,USD
in_000000161,cus_000000500015,2025-04-02,4770.30,paid,USD
in_000000162,cus_000000500015,2025-05-02,4564.78,paid,USD
in_000000163,cus_000000500015,2025-06-01,4689.79,paid,USD
in_000000164,cus_000000500015,2025-07-04,5047.23,paid,USD
in_000000165,cus_000000500015,2025-08-04,4541.16,paid,USD
in_000000166,cus_000000500015,2025-08-31,4650.89,paid,USD
in_000000167,cus_000000500015,2025-09-27,4309.18,paid,USD
in_000000168,cus_000000500015,2025-10-28,4443.33,paid,USD
in_000000169,cus_000000500015,2025-11-27,4397.97,paid,USD
in_000000170,cus_000000500015,2025-12-27,4665.00,paid,USD
in_000000171,cus_000000500015,2026-01-27,4314.46,paid,USD
in_000000172,cus_000000500015,2026-02-23,4520.30,failed,USD
in_000000173,cus_000000500016,2025-06-20,295.30,paid,USD
in_000000174,cus_000000500016,2025-07-23,284.69,paid,USD
in_000000175,cus_000000500016,2025-08-24,288.33,paid,USD
in_000000176,cus_000000500016,2025-09-24,267.92,paid,USD
in_000000177,cus_000000500016,2025-10-23,255.02,paid,USD
in_000000178,cus_000000500016,2025-11-21,258.08,paid,USD
in_000000179,cus_000000500016,2025-12-21,251.68,paid,USD
in_000000180,cus_000000500016,2026-01-22,280.29,paid,USD
in_000000181,cus_000000500016,2026-02-21,264.28,paid,USD
in_000000182,cus_000000500016,2026-03-22,282.22,void,USD
in_000000183,cus_000000500016,2026-04-18,296.33,paid,USD
in_000000184,cus_000000500016,2026-05-16,298.12,paid,USD
in_000000185,cus_000000500016,2026-06-18,254.72,paid,USD
in_000000186,cus_000000500016,2026-07-17,279.79,paid,USD
in_000000187,cus_000000500016,2026-08-19,267.07,paid,USD
in_000000188,cus_000000500017,2025-05-01,310.91,paid,USD
in_000000189,cus_000000500017,2025-05-30,304.56,paid,USD
in_000000190,cus_000000500017,2025-06-27,270.14,paid,USD
in_000000191,cus_000000500017,2025-07-28,312.71,paid,USD
in_000000192,cus_000000500017,2025-08-27,276.65,paid,USD
in_000000193,cus_000000500017,2025-09-23,312.96,paid,USD
in_000000194,cus_000000500017,2025-10-25,283.86,paid,USD
in_000000195,cus_000000500017,2025-11-26,325.13,paid,USD
in_000000196,cus_000000500017,2025-12-26,279.55,paid,USD
in_000000197,cus_000000500017,2026-01-25,314.57,paid,USD
in_000000198,cus_000000500017,2026-02-26,311.96,paid,USD
in_000000199,cus_000000500017,2026-03-28,296.87,paid,USD
in_000000200,cus_000000500017,2026-04-25,318.56,paid,USD
in_000000201,cus_000000500017,2026-05-26,294.09,paid,USD
in_000000202,cus_000000500017,2026-06-25,274.11,paid,USD
in_000000203,cus_000000500017,2026-07-28,313.75,paid,USD
in_000000204,cus_000000500018,2024-09-24,72207.22,paid,USD
in_000000205,cus_000000500018,2025-09-22,66998.52,paid,USD
in_000000206,cus_000000500019,2024-08-14,26781.28,paid,USD
in_000000207,cus_000000500019,2025-08-16,27500.08,paid,USD
in_000000208,cus_000000500019,2026-08-14,29414.52,paid,USD
in_000000209,cus_000000500020,2024-03-21,3758.91,paid,USD
in_000000210,cus_000000500020,2025-03-19,3920.96,paid,USD
in_000000211,cus_000000500020,2026-03-20,3497.26,paid,USD
in_000000212,cus_000000500022,2024-08-02,16681.42,paid,USD
in_000000213,cus_000000500022,2025-08-05,16992.29,paid,USD
in_000000214,cus_000000500023,2026-04-12,303.75,paid,USD
in_000000215,cus_000000500023,2026-05-10,293.85,paid,USD
in_000000216,cus_000000500023,2026-06-08,304.28,paid,USD
in_000000217,cus_000000500023,2026-07-11,323.14,paid,USD
in_000000218,cus_000000500023,2026-08-13,320.93,paid,USD
in_000000219,cus_000000500024,2025-01-09,14344.35,paid,USD
in_000000220,cus_000000500025,2025-06-05,126172.45,paid,USD
in_000000221,cus_000000500025,2026-06-02,122295.67,paid,USD
in_000000222,cus_000000500026,2025-05-17,281.86,paid,USD
in_000000223,cus_000000500026,2025-06-17,287.69,paid,USD
in_000000224,cus_000000500026,2025-07-19,294.70,paid,USD
in_000000225,cus_000000500026,2025-08-20,312.26,paid,USD
in_000000226,cus_000000500026,2025-09-21,300.44,paid,USD
in_000000227,cus_000000500026,2025-10-22,283.18,paid,USD
in_000000228,cus_000000500026,2025-11-19,316.16,paid,USD
in_000000229,cus_000000500026,2025-12-18,328.88,paid,USD
in_000000230,cus_000000500026,2026-01-20,319.11,paid,USD
in_000000231,cus_000000500026,2026-02-19,315.04,paid,USD
in_000000232,cus_000000500026,2026-03-21,280.76,paid,USD
in_000000233,cus_000000500026,2026-04-22,301.35,paid,USD
in_000000234,cus_000000500026,2026-05-20,282.55,paid,USD
in_000000235,cus_000000500026,2026-06-18,284.48,paid,USD
in_000000236,cus_000000500026,2026-07-15,278.34,paid,USD
in_000000237,cus_000000500026,2026-08-14,288.70,paid,USD
in_000000238,cus_000000500027,2025-12-23,2766.87,paid,USD
in_000000239,cus_000000500027,2026-01-24,2511.85,paid,USD
in_000000240,cus_000000500027,2026-02-22,2378.46,paid,USD
in_000000241,cus_000000500027,2026-03-25,2627.52,paid,USD
in_000000242,cus_000000500027,2026-04-22,2538.96,paid,USD
in_000000243,cus_000000500027,2026-05-23,2436.61,paid,USD
in_000000244,cus_000000500027,2026-06-24,2788.29,paid,USD
in_000000245,cus_000000500027,2026-07-26,2358.71,paid,USD
in_000000246,cus_000000500028,2025-01-23,5126.03,paid,USD
in_000000247,cus_000000500028,2025-02-21,4698.78,paid,USD
in_000000248,cus_000000500028,2025-03-20,4669.73,paid,USD
in_000000249,cus_000000500028,2025-04-21,4441.97,paid,USD
in_000000250,cus_000000500028,2025-05-18,4656.16,paid,USD
in_000000251,cus_000000500028,2025-06-17,4273.13,paid,USD
in_000000252,cus_000000500028,2025-07-16,4444.34,paid,USD
in_000000253,cus_000000500028,2025-08-18,5120.11,paid,USD
in_000000254,cus_000000500028,2025-09-16,4832.11,paid,USD
in_000000255,cus_000000500028,2025-10-15,5062.90,paid,USD
in_000000256,cus_000000500028,2025-11-14,4652.63,paid,USD
in_000000257,cus_000000500028,2025-12-14,4661.67,paid,USD
in_000000258,cus_000000500028,2026-01-10,4554.95,paid,USD
in_000000259,cus_000000500028,2026-02-07,5113.08,paid,USD
in_000000260,cus_000000500028,2026-03-06,4549.22,paid,USD
in_000000261,cus_000000500028,2026-04-02,4824.59,paid,USD
in_000000262,cus_000000500028,2026-05-05,4853.35,paid,USD
in_000000263,cus_000000500028,2026-06-05,5119.53,paid,USD
in_000000264,cus_000000500028,2026-07-02,4543.48,paid,USD
in_000000265,cus_000000500029,2025-11-10,3872.95,paid,USD
in_000000266,cus_000000500030,2026-01-16,201.12,paid,USD
in_000000267,cus_000000500030,2026-02-15,204.54,paid,USD
in_000000268,cus_000000500030,2026-03-16,229.98,paid,USD
in_000000269,cus_000000500030,2026-04-12,215.26,refunded,USD
in_000000270,cus_000000500030,2026-05-13,198.69,paid,USD
in_000000271,cus_000000500030,2026-06-09,226.00,paid,USD
in_000000272,cus_000000500030,2026-07-10,199.38,paid,USD
in_000000273,cus_000000500030,2026-08-12,219.61,paid,USD
in_000000274,cus_000000500031,2024-08-26,285.55,paid,USD
in_000000275,cus_000000500031,2024-09-23,297.34,paid,USD
in_000000276,cus_000000500031,2024-10-21,319.43,paid,USD
in_000000277,cus_000000500031,2024-11-18,306.24,paid,USD
in_000000278,cus_000000500031,2024-12-19,317.33,paid,USD
in_000000279,cus_000000500031,2025-01-16,300.63,paid,USD
in_000000280,cus_000000500031,2025-02-13,318.57,paid,USD
in_000000281,cus_000000500031,2025-03-14,297.74,paid,USD
in_000000282,cus_000000500031,2025-04-13,296.00,paid,USD
in_000000283,cus_000000500031,2025-05-11,311.57,void,USD
in_000000284,cus_000000500031,2025-06-13,316.92,paid,USD
in_000000285,cus_000000500031,2025-07-14,325.47,void,USD
in_000000286,cus_000000500031,2025-08-15,319.11,paid,USD
in_000000287,cus_000000500031,2025-09-17,315.71,paid,USD
in_000000288,cus_000000500031,2025-10-16,314.81,paid,USD
in_000000289,cus_000000500031,2025-11-16,306.27,paid,USD
in_000000290,cus_000000500031,2025-12-16,298.62,paid,USD
in_000000291,cus_000000500031,2026-01-12,314.32,paid,USD
in_000000292,cus_000000500031,2026-02-11,293.25,paid,USD
in_000000293,cus_000000500031,2026-03-14,312.19,paid,USD
in_000000294,cus_000000500031,2026-04-15,296.15,paid,USD
in_000000295,cus_000000500031,2026-05-15,285.42,paid,USD
in_000000296,cus_000000500031,2026-06-14,305.02,paid,USD
in_000000297,cus_000000500031,2026-07-16,302.53,paid,USD
in_000000298,cus_000000500031,2026-08-17,304.78,paid,USD
in_000000299,cus_000000500032,2023-09-13,977.63,paid,USD
in_000000300,cus_000000500032,2023-10-15,1090.02,paid,USD
in_000000301,cus_000000500032,2023-11-11,1014.63,paid,USD
in_000000302,cus_000000500032,2023-12-09,1049.14,paid,USD
in_000000303,cus_000000500032,2024-01-05,1049.92,paid,USD
in_000000304,cus_000000500032,2024-02-04,983.96,paid,USD
in_000000305,cus_000000500032,2024-03-07,1035.43,paid,USD
in_000000306,cus_000000500032,2024-04-07,1027.79,paid,USD
in_000000307,cus_000000500032,2024-05-07,998.69,paid,USD
in_000000308,cus_000000500032,2024-06-03,1081.26,paid,USD
in_000000309,cus_000000500032,2024-07-03,1035.70,paid,USD
in_000000310,cus_000000500032,2024-08-03,1018.28,paid,USD
in_000000311,cus_000000500032,2024-08-31,1012.09,paid,USD
in_000000312,cus_000000500032,2024-09-30,1176.78,paid,USD
in_000000313,cus_000000500032,2024-10-27,1044.41,paid,USD
in_000000314,cus_000000500032,2024-11-23,1099.86,paid,USD
in_000000315,cus_000000500032,2024-12-21,1065.46,paid,USD
in_000000316,cus_000000500032,2025-01-21,1059.40,paid,USD
in_000000317,cus_000000500032,2025-02-21,1164.79,paid,USD
in_000000318,cus_000000500032,2025-03-24,1124.24,paid,USD
in_000000319,cus_000000500032,2025-04-25,1028.58,void,USD
in_000000320,cus_000000500032,2025-05-26,1103.84,paid,USD
in_000000321,cus_000000500032,2025-06-23,1051.21,paid,USD
in_000000322,cus_000000500032,2025-07-23,1085.69,paid,USD
in_000000323,cus_000000500032,2025-08-23,1005.73,paid,USD
in_000000324,cus_000000500032,2025-09-24,1183.34,paid,USD
in_000000325,cus_000000500032,2025-10-22,1139.01,paid,USD
in_000000326,cus_000000500032,2025-11-24,1070.68,paid,USD
in_000000327,cus_000000500032,2025-12-24,998.13,paid,USD
in_000000328,cus_000000500032,2026-01-25,1051.75,paid,USD
in_000000329,cus_000000500032,2026-02-25,1013.60,paid,USD
in_000000330,cus_000000500032,2026-03-27,1161.72,paid,USD
in_000000331,cus_000000500032,2026-04-24,1008.25,paid,USD
in_000000332,cus_000000500032,2026-05-25,976.78,paid,USD
in_000000333,cus_000000500033,2023-09-20,1037.95,paid,USD
in_000000334,cus_000000500033,2023-10-22,1054.73,paid,USD
in_000000335,cus_000000500033,2023-11-23,993.38,paid,USD
in_000000336,cus_000000500033,2023-12-21,1011.99,paid,USD
in_000000337,cus_000000500033,2024-01-20,1014.49,paid,USD
in_000000338,cus_000000500033,2024-02-20,976.16,paid,USD
in_000000339,cus_000000500033,2024-03-24,978.06,paid,USD
in_000000340,cus_000000500033,2024-04-21,1134.72,paid,USD
in_000000341,cus_000000500033,2024-05-18,1161.87,paid,USD
in_000000342,cus_000000500033,2024-06-16,1129.62,refunded,USD
in_000000343,cus_000000500033,2024-07-13,1171.09,paid,USD
in_000000344,cus_000000500033,2024-08-15,975.11,paid,USD
in_000000345,cus_000000500033,2024-09-16,1050.55,paid,USD
in_000000346,cus_000000500033,2024-10-18,1001.13,paid,USD
in_000000347,cus_000000500033,2024-11-19,1036.17,paid,USD
in_000000348,cus_000000500033,2024-12-17,1173.41,void,USD
in_000000349,cus_000000500033,2025-01-16,1120.14,paid,USD
in_000000350,cus_000000500033,2025-02-14,1011.20,paid,USD
in_000000351,cus_000000500033,2025-03-18,1029.07,paid,USD
in_000000352,cus_000000500033,2025-04-15,991.90,paid,USD
in_000000353,cus_000000500033,2025-05-12,1034.37,paid,USD
in_000000354,cus_000000500033,2025-06-11,1149.13,paid,USD
in_000000355,cus_000000500033,2025-07-14,1156.89,paid,USD
in_000000356,cus_000000500033,2025-08-14,1021.70,paid,USD
in_000000357,cus_000000500033,2025-09-11,1064.57,paid,USD
in_000000358,cus_000000500033,2025-10-09,1106.13,paid,USD
in_000000359,cus_000000500033,2025-11-08,1107.20,paid,USD
in_000000360,cus_000000500033,2025-12-09,1015.40,paid,USD
in_000000361,cus_000000500033,2026-01-09,1179.89,paid,USD
in_000000362,cus_000000500033,2026-02-07,1035.40,paid,USD
in_000000363,cus_000000500033,2026-03-12,982.93,paid,USD
in_000000364,cus_000000500033,2026-04-08,1071.85,paid,USD
in_000000365,cus_000000500033,2026-05-11,1049.45,paid,USD
in_000000366,cus_000000500033,2026-06-10,1118.11,paid,USD
in_000000367,cus_000000500034,2025-01-18,325.66,paid,USD
in_000000368,cus_000000500034,2025-02-16,292.72,paid,USD
in_000000369,cus_000000500034,2025-03-20,305.60,paid,USD
in_000000370,cus_000000500034,2025-04-21,293.49,paid,USD
in_000000371,cus_000000500034,2025-05-24,307.82,paid,USD
in_000000372,cus_000000500034,2025-06-26,305.91,paid,USD
in_000000373,cus_000000500034,2025-07-29,329.60,paid,USD
in_000000374,cus_000000500034,2025-08-30,305.30,paid,USD
in_000000375,cus_000000500034,2025-09-30,287.43,paid,USD
in_000000376,cus_000000500034,2025-10-27,285.58,paid,USD
in_000000377,cus_000000500034,2025-11-24,323.63,void,USD
in_000000378,cus_000000500034,2025-12-21,277.60,paid,USD
in_000000379,cus_000000500034,2026-01-17,287.44,paid,USD
in_000000380,cus_000000500034,2026-02-15,324.17,paid,USD
in_000000381,cus_000000500034,2026-03-16,304.01,paid,USD
in_000000382,cus_000000500034,2026-04-13,317.85,paid,USD
in_000000383,cus_000000500034,2026-05-11,312.61,paid,USD
in_000000384,cus_000000500034,2026-06-08,308.63,void,USD
in_000000385,cus_000000500034,2026-07-08,325.51,paid,USD
in_000000386,cus_000000500034,2026-08-05,296.36,paid,USD
in_000000387,cus_000000500035,2023-02-22,58826.43,paid,USD
in_000000388,cus_000000500035,2024-02-23,61465.14,paid,USD
in_000000389,cus_000000500035,2025-02-24,59672.21,paid,USD
in_000000390,cus_000000500035,2026-02-27,59255.64,paid,USD
in_000000391,cus_000000500036,2023-12-23,50327.64,paid,USD
in_000000392,cus_000000500036,2024-12-20,59743.54,paid,USD
in_000000393,cus_000000500036,2025-12-18,51937.32,paid,USD
in_000000394,cus_000000500037,2023-10-28,60577.02,paid,USD
in_000000395,cus_000000500037,2024-10-30,72376.70,paid,USD
in_000000396,cus_000000500037,2025-10-29,65448.04,paid,USD
in_000000397,cus_000000500038,2024-07-25,364.21,paid,USD
in_000000398,cus_000000500038,2024-08-23,320.16,paid,USD
in_000000399,cus_000000500038,2024-09-23,372.49,paid,USD
in_000000400,cus_000000500038,2024-10-21,381.26,paid,USD
in_000000401,cus_000000500038,2024-11-18,334.47,paid,USD
in_000000402,cus_000000500038,2024-12-21,371.43,paid,USD
in_000000403,cus_000000500038,2025-01-21,351.00,paid,USD
in_000000404,cus_000000500038,2025-02-21,332.61,paid,USD
in_000000405,cus_000000500038,2025-03-23,333.45,paid,USD
in_000000406,cus_000000500038,2025-04-25,327.97,paid,USD
in_000000407,cus_000000500038,2025-05-25,334.76,paid,USD
in_000000408,cus_000000500038,2025-06-23,356.22,paid,USD
in_000000409,cus_000000500038,2025-07-25,354.39,paid,USD
in_000000410,cus_000000500038,2025-08-24,364.83,paid,USD
in_000000411,cus_000000500038,2025-09-21,340.55,paid,USD
in_000000412,cus_000000500038,2025-10-23,359.32,paid,USD
in_000000413,cus_000000500038,2025-11-24,374.23,paid,USD
in_000000414,cus_000000500038,2025-12-24,372.43,paid,USD
in_000000415,cus_000000500038,2026-01-20,350.85,paid,USD
in_000000416,cus_000000500038,2026-02-18,338.90,paid,USD
in_000000417,cus_000000500038,2026-03-20,323.96,paid,USD
in_000000418,cus_000000500038,2026-04-20,373.23,paid,USD
in_000000419,cus_000000500038,2026-05-20,337.46,paid,USD
in_000000420,cus_000000500038,2026-06-17,315.86,paid,USD
in_000000421,cus_000000500038,2026-07-16,335.54,paid,USD
in_000000422,cus_000000500038,2026-08-18,369.71,paid,USD
in_000000423,cus_000000500039,2025-04-30,3529.53,paid,USD
in_000000424,cus_000000500039,2026-04-28,3801.03,paid,USD
in_000000425,cus_000000500040,2026-02-27,271.79,paid,USD
in_000000426,cus_000000500040,2026-03-26,287.23,paid,USD
in_000000427,cus_000000500040,2026-04-23,326.57,paid,USD
in_000000428,cus_000000500040,2026-05-23,292.41,paid,USD
in_000000429,cus_000000500040,2026-06-19,316.52,paid,USD
in_000000430,cus_000000500040,2026-07-19,329.00,paid,USD
in_000000431,cus_000000500040,2026-08-19,283.87,paid,USD
in_000000432,cus_000000500041,2024-01-12,4719.31,failed,USD
in_000000433,cus_000000500041,2025-01-12,5088.35,paid,USD
in_000000434,cus_000000500041,2026-01-10,5162.85,paid,USD
in_000000435,cus_000000500042,2024-12-04,243.40,paid,USD
in_000000436,cus_000000500042,2025-01-01,255.19,failed,USD
in_000000437,cus_000000500042,2025-01-30,236.35,paid,USD
in_000000438,cus_000000500042,2025-03-03,218.88,paid,USD
in_000000439,cus_000000500042,2025-04-05,225.86,paid,USD
in_000000440,cus_000000500043,2025-09-28,8074.65,paid,USD
in_000000441,cus_000000500044,2023-07-19,10435.08,paid,USD
in_000000442,cus_000000500044,2023-08-17,10914.56,paid,USD
in_000000443,cus_000000500044,2023-09-17,9187.71,paid,USD
