month,channel,spend_usd
2023-09,Paid Search,256308.94
2023-09,Paid Social,96069.46
2023-09,Events & Sponsorships,104284.45
2023-09,Content & SEO,55451.61
2023-09,Partner Program,50796.20
2023-09,Outbound SDR,117400.68
2023-10,Paid Search,252716.50
2023-10,Paid Social,91690.92
2023-10,Events & Sponsorships,83481.71
2023-10,Content & SEO,56030.67
2023-10,Partner Program,47307.92
2023-10,Outbound SDR,95653.68
2023-11,Paid Search,198775.35
2023-11,Paid Social,90891.19
2023-11,Events & Sponsorships,69960.41
2023-11,Content & SEO,42883.86
2023-11,Partner Program,40761.18
2023-11,Outbound SDR,88122.98
2023-12,Paid Search,152837.96
2023-12,Paid Social,81519.84
2023-12,Events & Sponsorships,53074.63
2023-12,Content & SEO,45015.25
2023-12,Partner Program,32046.20
2023-12,Outbound SDR,66026.90
2024-01,Paid Search,268829.50
2024-01,Paid Social,81566.44
2024-01,Events & Sponsorships,81694.02
2024-01,Content & SEO,42700.41
2024-01,Partner Program,36856.76
2024-01,Outbound SDR,104055.43
2024-02,Paid Search,266432.85
2024-02,Paid Social,97254.25
2024-02,Events & Sponsorships,101874.34
2024-02,Content & SEO,55697.55
2024-02,Partner Program,53723.49
2024-02,Outbound SDR,107891.56
2024-03,Paid Search,249480.07
2024-03,Paid Social,120222.22
2024-03,Events & Sponsorships,79637.52
2024-03,Content & SEO,53439.60
2024-03,Partner Program,42828.92
2024-03,Outbound SDR,113626.08
2024-04,Paid Search,235805.09
2024-04,Paid Social,86403.84
2024-04,Events & Sponsorships,64324.52
2024-04,Content & SEO,50411.21
2024-04,Partner Program,36701.93
2024-04,Outbound SDR,100391.04
2024-05,Paid Search,222075.44
2024-05,Paid Social,87694.96
2024-05,Events & Sponsorships,79496.93
2024-05,Content & SEO,42744.82
2024-05,Partner Program,41360.38
2024-05,Outbound SDR,86432.42
2024-06,Paid Search,233278.12
2024-06,Paid Social,106193.27
2024-06,Events & Sponsorships,70432.99
2024-06,Content & SEO,44245.19
2024-06,Partner Program,41561.38
2024-06,Outbound SDR,113068.64
2024-07,Paid Search,216510.83
2024-07,Paid Social,69190.98
2024-07,Events & Sponsorships,58495.51
2024-07,Content & SEO,40016.08
2024-07,Partner Program,29608.51
2024-07,Outbound SDR,74831.80
2024-08,Paid Search,285264.75
2024-08,Paid Social,97449.50
2024-08,Events & Sponsorships,81035.72
2024-08,Content & SEO,50237.63
2024-08,Partner Program,35020.09
2024-08,Outbound SDR,101662.27
2024-09,Paid Search,348645.32
2024-09,Paid Social,123286.97
2024-09,Events & Sponsorships,101888.29
2024-09,Content & SEO,64911.52
2024-09,Partner Program,44406.28
2024-09,Outbound SDR,107691.33
2024-10,Paid Search,288199.41
2024-10,Paid Social,130966.07
2024-10,Events & Sponsorships,93204.34
2024-10,Content & SEO,53736.47
2024-10,Partner Program,43020.88
2024-10,Outbound SDR,100593.34
2024-11,Paid Search,254638.40
2024-11,Paid Social,109161.46
2024-11,Events & Sponsorships,76936.79
2024-11,Content & SEO,61192.55
2024-11,Partner Program,38616.71
2024-11,Outbound SDR,102493.63
2024-12,Paid Search,220908.94
2024-12,Paid Social,77137.74
2024-12,Events & Sponsorships,68306.83
2024-12,Content & SEO,45306.69
2024-12,Partner Program,35595.97
2024-12,Outbound SDR,72292.95
2025-01,Paid Search,252492.31
2025-01,Paid Social,101056.27
2025-01,Events & Sponsorships,71372.28
2025-01,Content & SEO,54459.05
2025-01,Partner Program,44802.03
2025-01,Outbound SDR,101483.15
2025-02,Paid Search,376619.23
2025-02,Paid Social,128966.63
2025-02,Events & Sponsorships,83835.18
2025-02,Content & SEO,54893.99
2025-02,Partner Program,41534.58
2025-02,Outbound SDR,121090.05
2025-03,Paid Search,314025.29
2025-03,Paid Social,148670.08
2025-03,Events & Sponsorships,93045.93
2025-03,Content & SEO,72201.14
2025-03,Partner Program,55455.13
2025-03,Outbound SDR,108869.33
2025-04,Paid Search,284722.07
2025-04,Paid Social,128339.80
2025-04,Events & Sponsorships,68870.27
2025-04,Content & SEO,53189.98
2025-04,Partner Program,35502.40
2025-04,Outbound SDR,115834.24
2025-05,Paid Search,280992.15
2025-05,Paid Social,104586.71
2025-05,Events & Sponsorships,86301.78
2025-05,Content & SEO,52072.72
2025-05,Partner Program,34044.98
2025-05,Outbound SDR,99208.27
2025-06,Paid Search,357891.19
2025-06,Paid Social,130510.29
2025-06,Events & Sponsorships,79944.11
2025-06,Content & SEO,58909.55
2025-06,Partner Program,39209.34
2025-06,Outbound SDR,102919.31
2025-07,Paid Search,251948.42
2025-07,Paid Social,90351.07
2025-07,Events & Sponsorships,62187.69
2025-07,Content & SEO,44008.30
2025-07,Partner Program,27488.31
2025-07,Outbound SDR,91215.52
2025-08,Paid Search,365343.83
2025-08,Paid Social,123603.94
2025-08,Events & Sponsorships,75035.40
2025-08,Content & SEO,62309.27
2025-08,Partner Program,42586.02
2025-08,Outbound SDR,101747.43
2025-09,Paid Search,404274.87
2025-09,Paid Social,160044.08
2025-09,Events & Sponsorships,92990.58
2025-09,Content & SEO,62810.76
2025-09,Partner Program,53873.92
2025-09,Outbound SDR,129111.07
2025-10,Paid Search,378730.94
2025-10,Paid Social,159630.31
2025-10,Events & Sponsorships,102667.66
2025-10,Content & SEO,57140.63
2025-10,Partner Program,43736.99
2025-10,Outbound SDR,136522.55
2025-11,Paid Search,325578.61
2025-11,Paid Social,105144.56
2025-11,Events & Sponsorships,80445.71
2025-11,Content & SEO,53864.64
2025-11,Partner Program,43092.30
2025-11,Outbound SDR,96781.69
2025-12,Paid Search,291461.69
2025-12,Paid Social,99991.54
2025-12,Events & Sponsorships,66134.97
2025-12,Content & SEO,48531.40
2025-12,Partner Program,35245.07
2025-12,Outbound SDR,85500.63
2026-01,Paid Search,345632.30
2026-01,Paid Social,115314.64
2026-01,Events & Sponsorships,73026.08
2026-01,Content & SEO,57809.44
2026-01,Partner Program,46739.91
2026-01,Outbound SDR,109211.79
2026-02,Paid Search,394087.10
2026-02,Paid Social,158104.45
2026-02,Events & Sponsorships,91675.84
2026-02,Content & SEO,72423.06
2026-02,Partner Program,40338.56
2026-02,Outbound SDR,138469.18
2026-03,Paid Search,422380.11
2026-03,Paid Social,163992.99
2026-03,Events & Sponsorships,79190.83
2026-03,Content & SEO,75540.94
2026-03,Partner Program,55238.18
2026-03,Outbound SDR,107848.83
2026-04,Paid Search,411875.48
2026-04,Paid Social,131424.39
2026-04,Events & Sponsorships,80168.39
2026-04,Content & SEO,65452.67
2026-04,Partner Program,40805.67
2026-04,Outbound SDR,93117.33
2026-05,Paid Search,384695.21
2026-05,Paid Social,138223.47
2026-05,Events & Sponsorships,83318.16
2026-05,Content & SEO,55102.71
2026-05,Partner Program,38575.45
2026-05,Outbound SDR,117330.42
2026-06,Paid Search,381003.33
2026-06,Paid Social,128687.32
2026-06,Events & Sponsorships,69196.58
2026-06,Content & SEO,66870.43
2026-06,Partner Program,38218.82
2026-06,Outbound SDR,101336.49
2026-07,Paid Search,364946.42
2026-07,Paid Social,94478.74
2026-07,Events & Sponsorships,67694.88
2026-07,Content & SEO,44317.35
2026-07,Partner Program,31507.01
2026-07,Outbound SDR,94869.98
2026-08,Paid Search,406029.60
2026-08,Paid Social,140054.06
2026-08,Events & Sponsorships,70338.21
2026-08,Content & SEO,57183.78
2026-08,Partner Program,34163.68
2026-08,Outbound SDR,125846.44
