book,closed,customer,original_contract_date,acv_at_close_usd,contract_type_at_close
Pelham,2024-10-31,Nightingale Lumen LLC,2023-12-23,9269,monthly
Pelham,2024-10-31,ALDER CASCADE GROUP,2021-04-14,14400,monthly
Pelham,2024-10-31,Larkspur Sable Group,2020-08-05,34238,annual
Pelham,2024-10-31,Larkspur Sable Systems,2024-03-19,7912,monthly
Pelham,2024-10-31,Umbra Atlas Holdings,2023-07-03,5892,monthly
Pelham,2024-10-31,ASHCOMBE SUMMIT LLC,2021-01-07,30699,usage
Pelham,2024-10-31,Larkspur Analytics Holdings,2024-01-30,3000,monthly
Pelham,2024-10-31,HARBORVIEW CASCADE LLC,2024-02-24,30842,monthly
Pelham,2024-10-31,Glenrock Keystone Systems,2023-04-22,211599,annual
Pelham,2024-10-31,PEMBERTON STERLING INC,2023-03-26,5595,monthly
Pelham,2024-10-31,Zenith Sterling Partners,2023-01-18,14400,monthly
Pelham,2024-10-31,Marbury Sterling LLC,2020-01-30,8651,monthly
Pelham,2024-10-31,Pemberton Lumen Inc,2020-07-04,56461,annual
Pelham,2024-10-31,Fairmount Trading LLC,2021-09-14,7710,usage
Pelham,2024-10-31,Zenith Summit Group,2024-01-27,14400,monthly
Pelham,2024-10-31,HOLLOWWAY COMPASS PARTNERS,2020-06-07,39762,annual
Pelham,2024-10-31,Cerulean Compass Partners,2022-11-19,6720,monthly
Pelham,2024-10-31,Inglewood Summit Group,2024-01-19,5967,usage
Pelham,2024-10-31,Dunmore Sterling Labs,2023-09-16,3975,monthly
Pelham,2024-10-31,Orchard Analytics Holdings,2023-10-14,10895,monthly
Pelham,2024-10-31,DOVETAIL STERLING GROUP,2023-12-01,8768,monthly
Pelham,2024-10-31,CRANFIELD ATLAS PARTNERS,2023-01-25,7852,monthly
Pelham,2024-10-31,Fairmount Compass Systems,2022-07-13,7746,monthly
Pelham,2024-10-31,ACME PRECISION CORP,2022-11-27,6513,monthly
Pelham,2024-10-31,Westbrook Coastal LLC,2022-03-19,7907,monthly
Pelham,2024-10-31,NIGHTINGALE COMPASS INC,2021-05-25,72000,annual
Pelham,2024-10-31,Harborview Clinical Partners,2020-12-04,34607,monthly
Pelham,2024-10-31,ACME CASCADE PARTNERS,2020-04-19,35408,annual
Pelham,2024-10-31,Glenrock Anchor LLC,2022-10-05,4800,usage
Pelham,2024-10-31,VANTAGE FREIGHT PARTNERS,2021-10-22,14400,monthly
Pelham,2024-10-31,Umbra Lumen Holdings,2021-05-12,19826,monthly
Pelham,2024-10-31,Vantage Quantum Inc,2022-08-13,15679,monthly
Pelham,2024-10-31,LAKESHORE DIGITAL PARTNERS,2020-04-22,28205,monthly
Pelham,2024-10-31,Vantage Quantum Corp,2019-12-03,14400,usage
Pelham,2024-10-31,Whitmore Freight LLC,2020-12-28,18000,monthly
Pelham,2024-10-31,Hernandez Retail Nimbus,2023-07-18,13443,monthly
Pelham,2024-10-31,Vásquez Media Quantum,2022-06-14,15679,monthly
Pelham,2024-10-31,GUIMARAES LOG DIGITAL II,2020-04-26,11752,monthly
Pelham,2024-10-31,FERREIRA SERVIÇOS PRECISION,2021-10-27,15378,monthly
Pelham,2024-10-31,GRUPO PEÑA DIGITAL,2021-01-15,7553,annual
Pelham,2024-10-31,Munoz Holdings Foundry,2022-02-23,7915,annual
Pelham,2024-10-31,GARCIA SISTEMAS CASCADE II,2020-05-22,30978,monthly
Pelham,2024-10-31,Andre Freres Analytics,2022-05-21,50593,annual
Pelham,2024-10-31,Glenrock Trading Holdings,2020-01-30,6598,monthly
Vireo,2025-05-30,Northgate Trading Corp,2024-03-31,30692,monthly
Vireo,2025-05-30,ALDER VECTOR CORP,2021-09-14,8076,monthly
Vireo,2025-05-30,Dovetail Nimbus Group,2021-05-28,8795,monthly
Vireo,2025-05-30,Acme Lumen Group,2020-12-23,37602,annual
Vireo,2025-05-30,Pemberton Coastal Labs,2021-12-16,92133,monthly
Vireo,2025-05-30,VANTAGE KEYSTONE CORP,2023-04-20,50181,monthly
Vireo,2025-05-30,Acme Sterling Corp,2022-08-28,6246,annual
Vireo,2025-05-30,THORNBURY FREIGHT HOLDINGS,2021-04-30,8195,monthly
Vireo,2025-05-30,Vantage Anchor Systems,2022-01-21,50434,monthly
Vireo,2025-05-30,HOLLOWWAY COASTAL LABS,2024-01-26,7062,monthly
Vireo,2025-05-30,Juniper Compass Holdings,2024-01-21,12005,monthly
Vireo,2025-05-30,ORCHARD SUPPLY HOLDINGS,2021-04-06,31937,monthly
Vireo,2025-05-30,ASHCOMBE SUMMIT GROUP,2022-11-09,14526,annual
Vireo,2025-05-30,Vantage Freight Holdings,2023-09-06,6181,monthly
Vireo,2025-05-30,Cranfield Trading Partners,2020-07-17,26784,annual
Vireo,2025-05-30,NIGHTINGALE SUPPLY LABS,2021-02-20,6957,monthly
Vireo,2025-05-30,Vantage Beacon Labs,2021-01-19,7816,monthly
Vireo,2025-05-30,Redstone Keystone Labs,2022-08-30,6241,monthly
Vireo,2025-05-30,YARROW CLINICAL SYSTEMS,2020-11-24,6259,monthly
Vireo,2025-05-30,Hollowway Anchor Holdings,2020-10-03,24372,annual
Vireo,2025-05-30,ASHCOMBE LUMEN GROUP,2020-10-15,48841,annual
Vireo,2025-05-30,Vantage Coastal Systems,2024-02-24,14400,monthly
Vireo,2025-05-30,VANTAGE KEYSTONE LLC,2022-03-15,16104,monthly
Vireo,2025-05-30,Ravenswood Beacon LLC,2022-09-09,10257,monthly
Vireo,2025-05-30,UNDERHILL NIMBUS SYSTEMS,2024-10-10,8210,usage
Vireo,2025-05-30,ALDER ANCHOR LLC,2023-09-09,24316,monthly
Vireo,2025-05-30,Larkspur Supply Corp,2023-05-17,44613,annual
Vireo,2025-05-30,Eastvale Sable Group,2023-05-09,11739,monthly
Vireo,2025-05-30,Brightwater Precision Labs,2023-11-12,10185,monthly
Vireo,2025-05-30,Meridian Keystone Partners,2021-05-20,46452,usage
Vireo,2025-05-30,Stonebridge Beacon Holdings,2020-11-23,18063,annual
Vireo,2025-05-30,Vantage Cascade Group,2022-08-03,15728,monthly
Vireo,2025-05-30,Ironwood Anchor Labs,2024-11-11,7971,monthly
Vireo,2025-05-30,QUARRY NIMBUS LLC,2020-08-28,4873,annual
Vireo,2025-05-30,Quarry Pioneer Inc,2021-01-01,7059,monthly
Vireo,2025-05-30,Larkspur Compass Holdings,2023-09-27,29906,annual
Vireo,2025-05-30,MERIDIAN ANALYTICS LLC,2020-12-17,24150,annual
Vireo,2025-05-30,YARROW ONYX LLC,2021-05-18,27555,annual
Vireo,2025-05-30,Westbrook Vector Group,2024-01-15,29202,monthly
Vireo,2025-05-30,THORNBURY PRECISION INC,2021-05-11,8222,annual
Vireo,2025-05-30,Vantage Lumen Partners,2020-07-27,9343,monthly
Vireo,2025-05-30,Inglewood Clinical Partners,2023-09-27,24358,annual
Vireo,2025-05-30,Yarrow Coastal Group,2024-10-03,6558,monthly
Vireo,2025-05-30,CERULEAN PIONEER GROUP,2022-06-29,34419,monthly
Vireo,2025-05-30,Verdigris Sable Labs,2021-02-04,3558,monthly
