account_id,account_name,email_domain,sector,created_date,account_status,plan_tier,mrr_usd,owner,lead_source
001Qy00000100161,Glenrock Onyx Systems,glenrock.com,Hospitality,2022-08-27,Churned,Growth,1808.16,m.tan,
001Qy00000100694,Alder Analytics Corp,alder.com,Hospitality,2024-11-09,Active,Growth,2477.56,m.tan,Organic Search
001Qy00000100750,Copperfield Nimbus LLC,copperfield.com,Manufacturing,2025-01-11,Active,Growth,3917.26,d.castellanos,Google Ads
001Qy00000100380,Zenith Pioneer LLC,zenith.com,Retail,2023-10-13,Active,Growth,1150.40,s.okoro,
001Qy00000100573,Brightwater Summit Systems,brightwater.com,Healthcare,2024-05-14,Active,Enterprise,26705.72,j.whitfield,
001Qy00000100629,Westbrook Analytics Systems,westbrook.com,Education,2024-08-22,Active,Starter,531.38,p.lindqvist,Paid Search
001Qy00000100862,Kestrel Lumen Group,kestrel.com,Retail,2025-06-15,Active,Growth,2685.99,j.whitfield,Partner Referral
001Qy00000101146,Quillfeather Supply Holdings,quillfeather.com,Healthcare,2026-02-09,Active,Starter,420.74,d.castellanos,Conference
001Qy00000100905,Pérez Group Cascade II,perez.com,Fintech,2025-07-20,Active,Starter,926.98,j.whitfield,Tradeshow
001Qy00000101307,Núñez Capital Sterling,nunez.com,Healthcare,2020-10-12,Active,Starter,552.23,s.okoro,
001Qy00000100892,Yarrow Sterling Labs,yarrow.com,Energy,2025-07-15,Active,Starter,802.18,m.tan,Blog
001Qy00000101040,Acme Onyx Systems,acme.com,Construction,2025-11-22,Active,Enterprise,96062.51,s.okoro,Direct
001Qy00000101233,Ravenswood Sterling Partners,ravenswood.com,Energy,2026-05-03,Active,Growth,4173.44,m.tan,
001Qy00000101086,Silverline Sable Holdings,silverline.com,Hospitality,2025-12-03,,Starter,394.66,a.reyes,PPC
001Qy00000100198,Hernández Retail Clinical,hernandez.com,Retail,2023-01-14,Inactive,Growth,11.04,s.okoro,
001Qy00000101224,Stonebridge Analytics LLC,stonebridge.com,Construction,2026-05-10,Active,Growth,1448.27,j.whitfield,direct
001Qy00000101428,Vantage Anchor Systems,vantage.com,Hospitality,2021-12-24,Churned,Growth,4202.83,p.lindqvist,
001Qy00000100718,Meridian Cascade Inc,meridian.com,Fintech,2024-11-19,Active,Growth,3203.17,s.okoro,Direct
001Qy00000100497,Grupo Peña Compass II,grupo.com,Manufacturing,2024-01-26,Churned,Growth,483.14,p.lindqvist,
001Qy00000100381,Pinnacle Onyx Holdings,pinnacle.com,Media,2023-10-10,Inactive,Growth,0.00,m.tan,
001Qy00000101305,López y Asociados Digital,lopez.com,Healthcare,2022-12-20,,Growth,4876.10,a.reyes,
001Qy00000101253,Northwind Digital Systems,northwind.com,Healthcare,2026-06-02,Active,Starter,338.10,j.whitfield,SDR
001Qy00000100283,Fairmount Summit Labs,fairmount.com,Media,2023-05-06,Churned,Growth,0.00,d.castellanos,
001Qy00000101037,Marbury Quantum Corp,marbury.com,Media,2025-12-04,Inactive,Enterprise,21869.79,j.whitfield,SEO
001Qy00000100935,Underhill Vector LLC,underhill.com,Energy,2025-07-05,Active,Starter,514.81,p.lindqvist,social
001Qy00000101215,Hollowway Nimbus LLC,hollowway.com,Media,2026-05-12,Active,Starter,634.62,d.castellanos,Word of Mouth
001Qy00000101221,Fairmount Digital Corp,fairmount.com,Logistics,2026-04-05,Active,Growth,2305.18,s.okoro,Organic Search
001Qy00000100057,Westbrook Nimbus Systems,westbrook.com,Logistics,2021-11-02,Active,Starter,729.08,m.tan,
001Qy00000100769,Silverline Quantum Holdings,silverline.com,Construction,2025-01-27,,Enterprise,3692.46,s.okoro,
001Qy00000100860,Quarry Foundry Systems,quarry.com,Energy,2025-04-30,,Starter,290.37,p.lindqvist,Google Ads
001Qy00000100482,Cranfield Trading Inc,cranfield.com,Media,2024-02-04,Active,Growth,7870.06,a.reyes,
001Qy00000101272,Harborview Pioneer Corp,harborview.com,Education,2026-06-25,Active,Starter,634.05,m.tan,PPC
001Qy00000101194,Inglewood Freight Systems,inglewood.com,Energy,2026-04-04,Active,Starter,1255.81,a.reyes,Paid Search
001Qy00000100640,Blackthorn Precision Group,blackthorn.com,Healthcare,2024-09-06,Churned,Starter,830.12,j.whitfield,Cold Outreach
001Qy00000101314,Verdigris Supply LLC,verdigris.com,Energy,2021-06-26,,Growth,2237.63,p.lindqvist,
001Qy00000100506,Lakeshore Freight Partners,lakeshore.com,Healthcare,2024-02-26,Active,Starter,376.66,m.tan,
001Qy00000100610,Cerulean Lumen Systems,cerulean.com,Education,2024-07-16,Churned,Growth,0.00,a.reyes,Paid Search
001Qy00000100719,Pinnacle Anchor Labs,pinnacle.com,Construction,2024-11-20,Active,Enterprise,6000.00,d.castellanos,Blog
001Qy00000100298,Grupo Peña Compass,grupo.com,Hospitality,2023-05-14,Active,Growth,1889.58,a.reyes,
001Qy00000100493,Vásquez Media Vector,vasquez.com,Healthcare,2024-02-28,Inactive,Starter,1026.21,a.reyes,
001Qy00000101082,Fairmount Beacon Labs,fairmount.com,Logistics,2025-12-16,Active,Starter,714.58,d.castellanos,Organic Search
001Qy00000100818,Copperfield Coastal Systems,copperfield.com,Healthcare,2025-03-30,Active,Starter,935.07,a.reyes,PPC
001Qy00000101216,Hollowway Nimbus LLC,hollowway.com,Media,2026-04-15,,Starter,40.96,d.castellanos,Event
001Qy00000100846,Redstone Clinical Group,redstone.com,Manufacturing,2025-03-31,Inactive,Starter,550.44,d.castellanos,
001Qy00000100778,Thornbury Sable Labs,thornbury.com,Construction,2025-01-05,Active,Starter,22885.58,a.reyes,SEO
001Qy00000100494,Guimarães Log Anchor,guimaraes.com,Media,2024-02-11,Inactive,Growth,6337.04,d.castellanos,
001Qy00000100925,Pinnacle Pioneer Inc,pinnacle.com,Logistics,2025-06-24,Active,Starter,267.98,d.castellanos,paid search
001Qy00000100226,Juniper Coastal Holdings,juniper.com,Retail,2023-02-25,,Enterprise,8423.38,j.whitfield,
001Qy00000100562,Pemberton Compass Partners,pemberton.com,Hospitality,2024-05-04,Active,Starter,203.34,s.okoro,
001Qy00000100689,Blackthorn Summit Systems,blackthorn.com,Energy,2024-11-13,Active,Starter,524.82,d.castellanos,Blog
001Qy00000100602,Pérez Group Sable,perez.com,Manufacturing,2024-07-08,,Growth,2072.84,j.whitfield,SEO
001Qy00000101028,Eastvale Trading LLC,eastvale.com,Media,2025-10-23,Active,Growth,3511.69,p.lindqvist,Partner Referral
001Qy00000101225,Vantage Anchor Corp,vantage.com,Fintech,2026-04-22,Active,Starter,718.72,d.castellanos,
001Qy00000101286,Verdigris Analytics Labs,verdigris.com,Retail,2026-07-03,Active,Starter,252.97,j.whitfield,
001Qy00000100952,Meridian Nimbus Partners,meridian.com,Fintech,2025-07-31,Active,Growth,2618.63,a.reyes,Cold Outreach
001Qy00000100119,Quarry Quantum Holdings,quarry.com,Construction,2019-11-24,Churned,Growth,1998.57,a.reyes,
001Qy00000100077,Cranfield Freight Inc,cranfield.com,Healthcare,2020-01-14,Active,Starter,887.61,p.lindqvist,
001Qy00000100940,Umbra Keystone Inc,umbra.com,Energy,2025-08-07,Active,Starter,504.48,a.reyes,
001Qy00000100123,Copperfield Quantum Labs,copperfield.com,Construction,2017-12-06,Active,Growth,2537.03,s.okoro,
001Qy00000100113,Lakeshore Precision Inc,lakeshore.com,Hospitality,2020-06-30,Churned,Starter,525.01,j.whitfield,
001Qy00000100365,Pinnacle Cascade LLC,pinnacle.com,Education,2023-08-13,Churned,Starter,758.82,p.lindqvist,
001Qy00000101010,Underhill Summit Partners,underhill.com,Retail,2025-10-10,Churned,Starter,360.72,j.whitfield,
001Qy00000101309,Pérez Group Supply,perez.com,Energy,2022-04-17,Churned,Starter,59.94,a.reyes,
001Qy00000101019,Vantage Vector Holdings,vantage.com,Energy,2025-11-01,Active,Starter,409.56,p.lindqvist,LinkedIn Ads
001Qy00000100110,Brightwater Pioneer Inc,brightwater.com,Logistics,2020-08-12,Inactive,Enterprise,175.01,d.castellanos,
001Qy00000101191,Meridian Supply Corp,meridian.com,Media,2026-03-03,,Growth,1724.57,a.reyes,paid search
001Qy00000100867,Oakfield Foundry Corp,oakfield.com,Logistics,2025-05-25,,Growth,1376.40,a.reyes,Word of Mouth
001Qy00000100250,Quillfeather Precision LLC,quillfeather.com,Energy,2023-03-18,Active,Starter,1036.08,j.whitfield,
001Qy00000100373,Yellowfin Atlas LLC,yellowfin.com,Energy,2023-09-23,Active,Starter,697.73,m.tan,
001Qy00000101092,Zenith Quantum Holdings,zenith.com,Fintech,2026-02-14,Active,Starter,626.47,s.okoro,Organic Search
001Qy00000100624,Kestrel Compass Labs,kestrel.com,Manufacturing,2024-08-28,Churned,Growth,0.00,m.tan,Conference
001Qy00000100927,Fairmount Digital Group,fairmount.com,Construction,2025-07-30,Active,Enterprise,6000.00,s.okoro,Event
001Qy00000100168,Ashcombe Trading Partners,ashcombe.com,Construction,2022-10-11,Active,Growth,3187.52,j.whitfield,
001Qy00000101236,Nightingale Beacon LLC,nightingale.com,Media,2026-05-20,Active,Growth,1200.00,p.lindqvist,Blog
001Qy00000101062,Verdigris Precision Holdings,verdigris.com,Media,2025-12-08,Active,Enterprise,6837.42,d.castellanos,Outbound
001Qy00000100013,Eastvale Foundry Labs,eastvale.com,Logistics,2021-08-18,Churned,Growth,0.00,p.lindqvist,
001Qy00000100217,Ravenswood Cascade Labs,ravenswood.com,Energy,2023-01-21,Active,Starter,498.59,s.okoro,
001Qy00000100367,Northwind Onyx Inc,northwind.com,Manufacturing,2023-08-26,Active,Starter,1171.53,j.whitfield,
001Qy00000100915,Zenith Precision Partners,zenith.com,Logistics,2025-08-04,Active,Starter,798.92,s.okoro,paid search
001Qy00000100257,Larkspur Pioneer Group,larkspur.com,Education,2023-03-25,Churned,Starter,657.81,d.castellanos,
001Qy00000101164,Nightingale Clinical LLC,nightingale.com,Media,2026-02-28,,Starter,532.41,d.castellanos,direct
001Qy00000100791,Alder Cascade Holdings,alder.com,Media,2025-02-23,Churned,Starter,1290.46,j.whitfield,LinkedIn Ads
001Qy00000101185,Underhill Quantum Partners,underhill.com,Retail,2026-04-02,Active,Enterprise,4462.90,p.lindqvist,
001Qy00000101302,Quarry Quantum Partners,quarry.com,Media,2020-08-02,Inactive,Starter,0.00,m.tan,
001Qy00000100378,Stonebridge Pioneer Labs,stonebridge.com,Education,2023-08-31,Churned,Growth,0.00,a.reyes,
001Qy00000100183,Meridian Atlas Holdings,meridian.com,Healthcare,2022-11-16,Churned,Growth,1914.75,p.lindqvist,
001Qy00000100164,Redstone Digital Corp,redstone.com,Healthcare,2022-10-29,,Enterprise,9506.44,d.castellanos,
001Qy00000100128,Orchard Trading Inc,orchard.com,Manufacturing,2018-05-30,Active,Enterprise,4840.55,d.castellanos,
001Qy00000100489,Verdigris Pioneer LLC,verdigris.com,Logistics,2024-02-15,Churned,Starter,0.00,s.okoro,
001Qy00000100754,Quillfeather Trading Systems,quillfeather.com,Media,2025-02-24,Churned,Enterprise,0.00,p.lindqvist,paid search
001Qy00000100213,Meridian Digital Partners,meridian.com,Retail,2022-12-10,Active,Starter,647.85,d.castellanos,
001Qy00000100280,Orchard Beacon Group,orchard.com,Retail,2023-03-24,,Starter,1127.20,p.lindqvist,
001Qy00000100389,Umbra Analytics Systems,umbra.com,Construction,2023-09-21,Inactive,Growth,433.91,d.castellanos,
001Qy00000101409,Vantage Quantum Corp,vantage.com,Media,2019-11-21,Churned,Growth,982.70,p.lindqvist,
001Qy00000101068,Yellowfin Summit Holdings,yellowfin.com,Logistics,2026-01-01,Active,Growth,6139.87,a.reyes,SDR
001Qy00000100423,Ashcombe Compass Partners,ashcombe.com,Energy,2023-11-20,Active,Starter,844.35,p.lindqvist,
001Qy00000101186,Nightingale Clinical Group,nightingale.com,Hospitality,2026-04-15,Active,Starter,855.17,d.castellanos,Paid Search
001Qy00000100443,Lakeshore Atlas Inc,lakeshore.com,Education,2024-01-04,Active,Starter,1693.27,p.lindqvist,
001Qy00000101336,Umbra Supply Partners,umbra.com,Retail,2020-04-19,Active,Starter,399.83,p.lindqvist,
001Qy00000101334,Ravenswood Atlas Systems,ravenswood.com,Education,2022-07-29,Churned,Starter,0.00,s.okoro,
001Qy00000100117,Ravenswood Trading Inc,ravenswood.com,Education,2021-09-28,Churned,Growth,2348.03,s.okoro,
001Qy00000100746,Glenrock Coastal Systems,glenrock.com,Construction,2024-12-29,Inactive,Starter,0.00,a.reyes,
001Qy00000100308,Northgate Lumen Labs,northgate.com,Logistics,2023-05-26,Active,Starter,514.15,j.whitfield,
001Qy00000100088,Alder Supply LLC,alder.com,Healthcare,2017-06-21,Active,Growth,2640.46,j.whitfield,
001Qy00000100127,Hollowway Coastal Corp,hollowway.com,Logistics,2018-12-31,Active,Starter,513.92,a.reyes,
001Qy00000100315,Acme Vector Inc,acme.com,Education,2023-06-09,Active,Starter,623.27,a.reyes,
001Qy00000101464,Verdigris Sable Labs,verdigris.com,Manufacturing,2020-12-31,Active,Starter,261.92,p.lindqvist,
001Qy00000100554,Orchard Beacon LLC,orchard.com,Education,2024-04-25,Churned,Starter,492.59,a.reyes,
001Qy00000100071,Lakeshore Quantum Inc,lakeshore.com,Construction,2019-09-15,Active,Growth,7331.23,m.tan,
001Qy00000101072,Ashcombe Digital Labs,ashcombe.com,Manufacturing,2025-12-28,Inactive,Growth,1398.24,s.okoro,Direct
001Qy00000100317,Lakeshore Beacon Inc,lakeshore.com,Energy,2023-06-29,Active,Starter,844.91,j.whitfield,
001Qy00000100412,Verdigris Atlas Systems,verdigris.com,Hospitality,2023-10-17,Active,Starter,385.48,a.reyes,
001Qy00000100963,Lakeshore Beacon Group,lakeshore.com,Fintech,2025-09-13,Active,Enterprise,14026.06,p.lindqvist,Direct
001Qy00000101292,Silverline Nimbus Corp,silverline.com,Education,2026-07-07,Active,Starter,604.27,m.tan,Paid Search
001Qy00000100221,Quarry Lumen Group,quarry.com,Hospitality,2023-01-20,Inactive,Starter,485.19,j.whitfield,
001Qy00000101014,Oakfield Clinical Corp,oakfield.com,Fintech,2025-11-17,Churned,Starter,483.90,p.lindqvist,PPC
001Qy00000100379,Yarrow Freight Labs,yarrow.com,Healthcare,2023-09-09,,Starter,1500.00,d.castellanos,
001Qy00000100357,Stonebridge Anchor Group,stonebridge.com,Logistics,2023-09-25,Active,Starter,5.50,s.okoro,
001Qy00000100869,Oakfield Lumen Labs,oakfield.com,Fintech,2025-04-22,Churned,Starter,0.00,a.reyes,Direct
001Qy00000100886,Quillfeather Keystone Corp,quillfeather.com,Energy,2025-07-22,Active,Growth,1200.00,j.whitfield,SEO
001Qy00000100890,Hollowway Foundry Labs,hollowway.com,Hospitality,2025-06-18,,Starter,0.00,s.okoro,Google Ads
001Qy00000101198,Quarry Cascade Inc,quarry.com,Healthcare,2026-04-02,Active,Growth,502.04,s.okoro,LinkedIn
001Qy00000100649,Juniper Atlas Systems,juniper.com,Logistics,2024-08-14,Active,Enterprise,12957.11,j.whitfield,Word of Mouth
001Qy00000100375,Pinnacle Pioneer Partners,pinnacle.com,Media,2023-10-09,Active,Starter,483.02,p.lindqvist,
001Qy00000100049,Dunmore Sable Group,dunmore.com,Education,2020-01-08,Active,Growth,8714.02,d.castellanos,
001Qy00000101046,Acme Analytics LLC,acme.com,Fintech,2025-11-06,Active,Starter,653.67,p.lindqvist,Paid Search
001Qy00000101374,Nightingale Lumen LLC,nightingale.com,Hospitality,2023-12-06,Churned,Starter,772.45,d.castellanos,
001Qy00000100709,Brightwater Keystone Corp,brightwater.com,Construction,2024-12-17,Active,Enterprise,15217.54,p.lindqvist,SEO
001Qy00000100798,Hernández Retail Quantum,hernandez.com,Energy,2025-01-19,Churned,Starter,631.68,j.whitfield,Direct
001Qy00000100125,Zenith Supply Corp,zenith.com,Construction,2022-08-01,Active,Growth,2480.07,m.tan,
001Qy00000100696,Blackthorn Atlas Labs,blackthorn.com,Media,2024-09-29,Active,Growth,3262.04,s.okoro,Partner
001Qy00000100466,Yarrow Lumen Holdings,yarrow.com,Manufacturing,2024-01-18,Churned,Starter,554.55,m.tan,
001Qy00000100537,Pemberton Freight LLC,pemberton.com,Construction,2024-04-11,,Growth,4080.48,m.tan,
001Qy00000100321,Hollowway Digital Partners,hollowway.com,Fintech,2023-05-29,,Starter,298.02,a.reyes,
001Qy00000100266,Meridian Analytics Systems,meridian.com,Energy,2023-03-27,Active,Growth,2328.26,s.okoro,
001Qy00000101264,Copperfield Beacon Inc,copperfield.com,Manufacturing,2026-06-19,Active,Starter,981.04,p.lindqvist,paid search
001Qy00000101328,Dunmore Keystone Systems,dunmore.com,Manufacturing,2022-02-21,Active,Growth,1645.46,a.reyes,
001Qy00000100691,Fairmount Analytics Systems,fairmount.com,Media,2024-10-27,Active,Starter,643.33,p.lindqvist,Organic Search
001Qy00000101091,Harborview Cascade Inc,harborview.com,Logistics,2026-02-11,Inactive,Starter,647.82,m.tan,PPC
001Qy00000101138,Quillfeather Summit Labs,quillfeather.com,Logistics,2026-02-22,Active,Growth,1594.41,d.castellanos,Outbound
001Qy00000101151,Nightingale Pioneer Corp,nightingale.com,Construction,2026-02-10,Active,Starter,798.29,m.tan,LinkedIn
001Qy00000101213,Pérez Group Nimbus,perez.com,Construction,2026-04-07,Inactive,Starter,247.73,s.okoro,Paid Search
001Qy00000100209,Harborview Coastal Group,harborview.com,Construction,2022-12-16,Inactive,Starter,1509.71,m.tan,
001Qy00000100946,Meridian Cascade Group,meridian.com,Construction,2025-08-03,Active,Starter,704.28,d.castellanos,SEO
001Qy00000101015,Orchard Supply Inc,orchard.com,Retail,2025-10-27,Active,Starter,487.64,a.reyes,LinkedIn
001Qy00000100319,Tanglewood Sable Corp,tanglewood.com,Retail,2023-06-27,,Growth,1370.43,j.whitfield,
001Qy00000100979,Alder Compass LLC,alder.com,Manufacturing,2025-08-17,Active,Growth,4327.86,a.reyes,Cold Outreach
001Qy00000101386,Pemberton Lumen Inc,pemberton.com,Retail,2020-07-02,Inactive,Growth,4283.27,m.tan,
001Qy00000100124,Acme Clinical Systems,acme.com,Healthcare,2019-08-17,Active,Starter,1199.62,p.lindqvist,
001Qy00000101337,Inglewood Cascade Partners,inglewood.com,Media,2020-01-29,Active,Starter,258.35,s.okoro,
001Qy00000100740,Eastvale Beacon Holdings,eastvale.com,Construction,2024-12-26,Active,Growth,4099.05,d.castellanos,paid search
001Qy00000100313,Lakeshore Compass Group,lakeshore.com,Retail,2023-06-01,Active,Growth,1260.82,m.tan,
001Qy00000100398,São Bento Foundry II,sao.com,Fintech,2023-10-28,Churned,Starter,651.79,p.lindqvist,
001Qy00000100067,Pinnacle Foundry Inc,pinnacle.com,Logistics,2021-08-08,Active,Growth,2439.28,p.lindqvist,
001Qy00000101084,Tanglewood Digital Labs,tanglewood.com,Retail,2025-11-22,Churned,Starter,287.32,m.tan,Word of Mouth
001Qy00000101133,Cerulean Nimbus Labs,cerulean.com,Hospitality,2026-02-14,,Starter,53.39,s.okoro,social
001Qy00000101078,Orchard Pioneer Inc,orchard.com,Education,2025-12-22,,Starter,382.01,a.reyes,Partner Referral
001Qy00000100481,Ravenswood Quantum Group,ravenswood.com,Manufacturing,2024-02-20,Inactive,Starter,0.00,d.castellanos,
001Qy00000101274,Nightingale Coastal Inc,nightingale.com,Fintech,2026-06-16,Active,Growth,2530.50,p.lindqvist,Organic Search
001Qy00000101065,Ironwood Atlas Labs,ironwood.com,Education,2025-12-09,Active,Starter,499.66,m.tan,direct
001Qy00000100620,Brightwater Nimbus Holdings,brightwater.com,Retail,2024-07-18,Churned,Enterprise,0.00,j.whitfield,Paid Social
001Qy00000101200,Meridian Foundry Holdings,meridian.com,Fintech,2026-03-31,Churned,Growth,0.00,s.okoro,
001Qy00000100960,Dovetail Analytics Labs,dovetail.com,Manufacturing,2025-08-07,Inactive,Starter,0.00,s.okoro,LinkedIn Ads
001Qy00000100819,Dovetail Foundry Corp,dovetail.com,Media,2025-03-26,Active,Starter,509.35,p.lindqvist,Tradeshow
001Qy00000100023,Yellowfin Clinical LLC,yellowfin.com,Hospitality,2019-05-16,Active,Enterprise,33662.41,j.whitfield,
001Qy00000100804,André Frères Compass,andre.com,Manufacturing,2025-02-22,Active,Growth,3096.27,d.castellanos,Outbound
001Qy00000100131,Westbrook Sterling LLC,westbrook.com,Retail,2018-04-14,Active,Growth,2854.44,a.reyes,
001Qy00000100061,Blackthorn Analytics Systems,blackthorn.com,Education,2017-09-01,Active,Starter,843.08,m.tan,
001Qy00000100787,Westbrook Freight Corp.,westbrook.com,Education,2025-02-06,Active,Enterprise,60.56,d.castellanos,SEO
001Qy00000100980,Brightwater Freight LLC,brightwater.com,Education,2025-10-02,Churned,Starter,0.00,j.whitfield,Paid Search
001Qy00000100621,Copperfield Freight Corp,copperfield.com,Energy,2024-08-17,Active,Starter,682.96,s.okoro,Google Ads
001Qy00000100363,Inglewood Coastal Group,inglewood.com,Healthcare,2023-09-07,Active,Growth,1496.57,a.reyes,
001Qy00000100047,Northwind Foundry Labs,northwind.com,Education,2018-08-26,Active,Enterprise,6111.14,j.whitfield,
