contract_type,month,paying_customers,revenue,new_rev,retained_rev,expansion_rev,contraction_rev,resurrected_rev,churned_rev,quick_ratio
usage,2023-09-01,27,113250.0,487.0,103839.0,8924.0,-5026.0,,-1139.0,1.53
usage,2023-10-01,28,111602.0,363.0,106808.0,4432.0,-6443.0,,,0.74
usage,2023-11-01,30,132083.0,4236.0,106619.0,21228.0,-4983.0,,,5.11
usage,2023-12-01,29,131930.0,,122770.0,9160.0,-8523.0,,-791.0,0.98
usage,2024-01-01,30,122160.0,1323.0,105439.0,15398.0,-26491.0,,,0.63
usage,2024-02-01,33,402659.0,278147.0,112020.0,12492.0,-9767.0,,-373.0,28.66
usage,2024-03-01,34,392378.0,13827.0,351028.0,27122.0,-37689.0,400.0,-13942.0,0.8
usage,2024-04-01,34,412294.0,1178.0,376791.0,34325.0,-10722.0,,-4864.0,2.28
usage,2024-05-01,33,272541.0,2236.0,250141.0,20163.0,-144460.0,,-17693.0,0.14
usage,2024-06-01,35,291273.0,1581.0,262804.0,11234.0,-7029.0,15654.0,-2708.0,2.92
usage,2024-07-01,36,285178.0,1599.0,214154.0,67147.0,-8188.0,2279.0,-68932.0,0.92
usage,2024-08-01,35,334764.0,,244171.0,8888.0,-31670.0,81705.0,-9337.0,2.21
usage,2024-09-01,35,279513.0,452.0,265182.0,11633.0,-62095.0,2246.0,-7487.0,0.21
usage,2024-10-01,37,315730.0,3246.0,269665.0,34385.0,-5533.0,8434.0,-4315.0,4.68
usage,2024-11-01,40,273657.0,5047.0,261454.0,2892.0,-52165.0,4265.0,-2111.0,0.22
usage,2024-12-01,42,340194.0,14575.0,267650.0,56312.0,-4120.0,1657.0,-1887.0,12.08
usage,2025-01-01,45,305417.0,1159.0,291771.0,10569.0,-48423.0,1918.0,,0.28
usage,2025-02-01,44,322686.0,2318.0,288919.0,31449.0,-11871.0,,-4627.0,2.05
usage,2025-03-01,48,354162.0,17253.0,289557.0,38471.0,-28675.0,8881.0,-4454.0,1.95
usage,2025-04-01,51,421579.0,3411.0,339437.0,75311.0,-14725.0,3420.0,,5.58
usage,2025-05-01,50,370675.0,,357105.0,13570.0,-62239.0,,-2235.0,0.21
usage,2025-06-01,55,379675.0,9278.0,343740.0,24226.0,-26533.0,2431.0,-401.0,1.33
usage,2025-07-01,55,417395.0,1431.0,362424.0,53242.0,-14979.0,298.0,-2272.0,3.19
usage,2025-08-01,54,355854.0,773.0,330638.0,24031.0,-77220.0,411.0,-9536.0,0.29
usage,2025-09-01,57,353889.0,2055.0,320245.0,23464.0,-30245.0,8125.0,-5364.0,0.94
usage,2025-10-01,60,389268.0,8199.0,336496.0,39155.0,-14333.0,5417.0,-3061.0,3.03
usage,2025-11-01,58,369350.0,3924.0,344284.0,17070.0,-36763.0,4072.0,-8221.0,0.56
usage,2025-12-01,63,450893.0,414.0,350480.0,92719.0,-18173.0,7279.0,-697.0,5.32
usage,2026-01-01,65,446798.0,16236.0,389213.0,41348.0,-50955.0,,-10724.0,0.93
usage,2026-02-01,66,413223.0,7035.0,389487.0,16701.0,-57310.0,,,0.41
usage,2026-03-01,67,496573.0,115863.0,338861.0,41849.0,-45767.0,,-28595.0,2.12
usage,2026-04-01,67,536900.0,894.0,472182.0,31924.0,-22184.0,31900.0,-2207.0,2.65
usage,2026-05-01,65,463179.0,1086.0,396947.0,65146.0,-19013.0,,-120940.0,0.47
usage,2026-06-01,65,512868.0,3203.0,433054.0,67581.0,-14993.0,9031.0,-15133.0,2.65
usage,2026-07-01,66,507153.0,35975.0,436189.0,19995.0,-61792.0,14994.0,-14887.0,0.93
usage,2026-08-01,41,265728.0,3159.0,250724.0,8943.0,-43941.0,2902.0,-212487.0,0.06
