contract_type,month,seats,new_seats,retained_seats,expansion_seats,contraction_seats,resurrected_seats,churned_seats,quick_ratio
annual,2023-03-01,1329.0,93.0,1214.0,22.0,-8.0,,,14.38
annual,2023-04-01,1465.0,145.0,1307.0,13.0,-22.0,,,7.18
annual,2023-05-01,1497.0,19.0,1453.0,25.0,-12.0,,,3.67
annual,2023-06-01,1626.0,129.0,1478.0,19.0,-19.0,,,7.79
annual,2023-07-01,1662.0,41.0,1607.0,14.0,-19.0,,,2.89
annual,2023-08-01,1707.0,117.0,1565.0,25.0,-97.0,,,1.46
annual,2023-09-01,1908.0,176.0,1687.0,45.0,-20.0,,,11.05
annual,2023-10-01,2062.0,169.0,1854.0,39.0,-47.0,,-7.0,3.85
annual,2023-11-01,2258.0,49.0,2042.0,161.0,-9.0,6.0,-11.0,10.8
annual,2023-12-01,2266.0,22.0,2190.0,53.0,-35.0,1.0,-33.0,1.12
annual,2024-01-01,2284.0,30.0,2217.0,34.0,-48.0,3.0,-1.0,1.37
annual,2024-02-01,2452.0,177.0,2247.0,28.0,-34.0,,-3.0,5.54
annual,2024-03-01,2623.0,150.0,2418.0,55.0,-34.0,,,6.03
annual,2024-04-01,2898.0,256.0,2575.0,67.0,-41.0,,-7.0,6.73
annual,2024-05-01,3161.0,222.0,2849.0,90.0,-42.0,,-7.0,6.37
annual,2024-06-01,3211.0,28.0,3099.0,84.0,-58.0,,-4.0,1.81
annual,2024-07-01,3285.0,124.0,3117.0,44.0,-94.0,,,1.79
annual,2024-08-01,3308.0,16.0,3206.0,86.0,-78.0,,-1.0,1.29
annual,2024-09-01,3613.0,362.0,3197.0,54.0,-103.0,,-8.0,3.75
annual,2024-10-01,3819.0,174.0,3537.0,108.0,-57.0,,-19.0,3.71
annual,2024-11-01,4200.0,155.0,3744.0,301.0,-52.0,,-23.0,6.08
annual,2024-12-01,4409.0,211.0,4114.0,84.0,-59.0,,-27.0,3.43
annual,2025-01-01,4604.0,221.0,4309.0,74.0,-87.0,,-13.0,2.95
annual,2025-02-01,4641.0,91.0,4465.0,85.0,-137.0,,-2.0,1.27
annual,2025-03-01,4723.0,61.0,4581.0,79.0,-57.0,2.0,-3.0,2.37
annual,2025-04-01,4813.0,92.0,4627.0,94.0,-78.0,,-18.0,1.94
annual,2025-05-01,5006.0,233.0,4689.0,84.0,-101.0,,-23.0,2.56
annual,2025-06-01,5069.0,56.0,4897.0,115.0,-77.0,1.0,-32.0,1.58
annual,2025-07-01,5193.0,105.0,4999.0,89.0,-59.0,,-11.0,2.77
annual,2025-08-01,5262.0,121.0,5068.0,73.0,-113.0,,-12.0,1.55
annual,2025-09-01,5380.0,138.0,5110.0,132.0,-148.0,,-4.0,1.78
annual,2025-10-01,5623.0,205.0,5257.0,161.0,-120.0,,-3.0,2.98
annual,2025-11-01,6065.0,196.0,5520.0,349.0,-97.0,,-6.0,5.29
annual,2025-12-01,6282.0,202.0,5923.0,157.0,-83.0,,-59.0,2.53
annual,2026-01-01,6381.0,63.0,6164.0,154.0,-84.0,,-34.0,1.84
annual,2026-02-01,6498.0,23.0,6284.0,191.0,-80.0,,-17.0,2.21
annual,2026-03-01,6611.0,65.0,6416.0,130.0,-76.0,,-6.0,2.38
annual,2026-04-01,6739.0,98.0,6463.0,178.0,-139.0,,-9.0,1.86
annual,2026-05-01,6871.0,19.0,6613.0,239.0,-122.0,,-4.0,2.05
annual,2026-06-01,6969.0,28.0,6770.0,171.0,-93.0,,-8.0,1.97
annual,2026-07-01,7075.0,113.0,6866.0,92.0,-102.0,4.0,-1.0,2.03
annual,2026-08-01,7101.0,13.0,6916.0,172.0,-143.0,,-16.0,1.16
monthly,2022-10-01,309.0,268.0,,,,41.0,,
monthly,2022-11-01,733.0,410.0,305.0,18.0,-4.0,,,107.0
monthly,2022-12-01,846.0,108.0,702.0,36.0,-26.0,,-5.0,4.65
monthly,2023-01-01,917.0,55.0,831.0,31.0,-12.0,,-3.0,5.73
monthly,2023-02-01,975.0,59.0,886.0,30.0,-30.0,,-1.0,2.87
monthly,2023-03-01,1038.0,67.0,941.0,30.0,-17.0,,-17.0,2.85
monthly,2023-04-01,1160.0,125.0,1007.0,28.0,-23.0,,-8.0,4.94
monthly,2023-05-01,1192.0,28.0,1114.0,49.0,-34.0,1.0,-12.0,1.7
monthly,2023-06-01,1238.0,46.0,1161.0,31.0,-24.0,,-7.0,2.48
monthly,2023-07-01,1251.0,28.0,1197.0,26.0,-38.0,,-3.0,1.32
monthly,2023-08-01,1283.0,53.0,1206.0,24.0,-37.0,,-8.0,1.71
monthly,2023-09-01,1341.0,41.0,1252.0,48.0,-24.0,,-7.0,2.87
monthly,2023-10-01,1388.0,62.0,1293.0,33.0,-33.0,,-15.0,1.98
monthly,2023-11-01,1448.0,45.0,1351.0,52.0,-28.0,,-9.0,2.62
monthly,2023-12-01,1516.0,58.0,1394.0,64.0,-49.0,,-5.0,2.26
monthly,2024-01-01,1630.0,112.0,1460.0,56.0,-48.0,2.0,-8.0,3.04
monthly,2024-02-01,1649.0,42.0,1572.0,35.0,-52.0,,-6.0,1.33
monthly,2024-03-01,1762.0,105.0,1607.0,50.0,-35.0,,-7.0,3.69
monthly,2024-04-01,1949.0,206.0,1691.0,52.0,-58.0,,-13.0,3.63
monthly,2024-05-01,2191.0,249.0,1889.0,53.0,-51.0,,-9.0,5.03
monthly,2024-06-01,2195.0,31.0,2104.0,60.0,-80.0,,-7.0,1.05
monthly,2024-07-01,2221.0,40.0,2127.0,52.0,-58.0,2.0,-10.0,1.38
monthly,2024-08-01,2288.0,107.0,2123.0,58.0,-65.0,,-33.0,1.68
monthly,2024-09-01,2327.0,55.0,2208.0,64.0,-58.0,,-22.0,1.49
monthly,2024-10-01,2369.0,84.0,2220.0,65.0,-81.0,,-26.0,1.39
monthly,2024-11-01,2457.0,106.0,2279.0,72.0,-75.0,,-15.0,1.98
monthly,2024-12-01,2612.0,169.0,2370.0,73.0,-64.0,,-23.0,2.78
monthly,2025-01-01,2732.0,180.0,2472.0,80.0,-123.0,,-17.0,1.86
monthly,2025-02-01,2831.0,122.0,2630.0,78.0,-89.0,1.0,-13.0,1.97
monthly,2025-03-01,2946.0,91.0,2772.0,83.0,-49.0,,-10.0,2.95
monthly,2025-04-01,2993.0,89.0,2836.0,68.0,-76.0,,-34.0,1.43
monthly,2025-05-01,2979.0,40.0,2861.0,78.0,-110.0,,-22.0,0.89
monthly,2025-06-01,3108.0,117.0,2894.0,97.0,-74.0,,-11.0,2.52
monthly,2025-07-01,3178.0,97.0,2995.0,84.0,-90.0,2.0,-23.0,1.62
monthly,2025-08-01,3300.0,134.0,3075.0,91.0,-84.0,,-19.0,2.18
monthly,2025-09-01,3366.0,110.0,3147.0,109.0,-128.0,,-25.0,1.43
monthly,2025-10-01,3396.0,44.0,3246.0,106.0,-91.0,,-29.0,1.25
monthly,2025-11-01,3543.0,113.0,3298.0,132.0,-77.0,,-21.0,2.5
monthly,2025-12-01,3611.0,99.0,3438.0,74.0,-74.0,,-31.0,1.65
monthly,2026-01-01,3615.0,39.0,3483.0,92.0,-102.0,1.0,-26.0,1.03
monthly,2026-02-01,3709.0,106.0,3495.0,108.0,-104.0,,-16.0,1.78
monthly,2026-03-01,3780.0,109.0,3579.0,90.0,-106.0,2.0,-24.0,1.55
monthly,2026-04-01,3793.0,73.0,3617.0,103.0,-108.0,,-55.0,1.08
monthly,2026-05-01,3823.0,118.0,3596.0,104.0,-96.0,5.0,-101.0,1.15
monthly,2026-06-01,3858.0,139.0,3616.0,103.0,-102.0,,-105.0,1.17
monthly,2026-07-01,3910.0,36.0,3764.0,110.0,-62.0,,-32.0,1.55
monthly,2026-08-01,3832.0,26.0,3738.0,68.0,-142.0,,-30.0,0.55
usage,2022-10-01,114.0,57.0,,,,57.0,,
usage,2022-11-01,166.0,48.0,114.0,4.0,,,,
usage,2022-12-01,168.0,3.0,162.0,3.0,-4.0,,,1.5
usage,2023-01-01,179.0,3.0,166.0,10.0,-2.0,,,6.5
usage,2023-02-01,183.0,,177.0,6.0,-2.0,,,3.0
usage,2023-03-01,200.0,20.0,180.0,,-3.0,,,6.67
usage,2023-04-01,242.0,40.0,198.0,4.0,-2.0,,,22.0
usage,2023-05-01,276.0,20.0,238.0,18.0,-4.0,,,9.5
usage,2023-06-01,268.0,,261.0,7.0,-15.0,,,0.47
usage,2023-07-01,283.0,14.0,264.0,5.0,-4.0,,,4.75
usage,2023-08-01,280.0,,276.0,4.0,-7.0,,,0.57
usage,2023-09-01,286.0,5.0,264.0,17.0,-8.0,,-8.0,1.38
usage,2023-10-01,282.0,,276.0,6.0,-3.0,,-7.0,0.6
usage,2023-11-01,313.0,20.0,280.0,13.0,-1.0,,-1.0,16.5
usage,2023-12-01,310.0,,305.0,4.0,-8.0,1.0,,0.63
usage,2024-01-01,317.0,5.0,298.0,14.0,-11.0,,-1.0,1.58
usage,2024-02-01,335.0,18.0,311.0,6.0,-6.0,,,4.0
usage,2024-03-01,410.0,59.0,326.0,25.0,-2.0,,-7.0,9.33
usage,2024-04-01,417.0,1.0,401.0,15.0,-3.0,,-6.0,1.78
usage,2024-05-01,415.0,6.0,402.0,7.0,-15.0,,,0.87
usage,2024-06-01,451.0,33.0,404.0,14.0,-11.0,,,4.27
usage,2024-07-01,477.0,16.0,439.0,22.0,-11.0,,-1.0,3.17
usage,2024-08-01,486.0,2.0,463.0,21.0,-6.0,,-8.0,1.64
usage,2024-09-01,495.0,,479.0,14.0,-7.0,2.0,,2.29
usage,2024-10-01,504.0,9.0,485.0,10.0,-8.0,,-2.0,1.9
usage,2024-11-01,574.0,77.0,491.0,6.0,-13.0,,,6.38
usage,2024-12-01,576.0,5.0,554.0,17.0,-19.0,,-1.0,1.1
usage,2025-01-01,577.0,5.0,556.0,16.0,-20.0,,,1.05
usage,2025-02-01,607.0,36.0,558.0,13.0,-17.0,,-2.0,2.58
usage,2025-03-01,682.0,60.0,597.0,25.0,-10.0,,,8.5
usage,2025-04-01,712.0,,674.0,38.0,-7.0,,-1.0,4.75
usage,2025-05-01,709.0,,697.0,12.0,-15.0,,,0.8
usage,2025-06-01,767.0,41.0,697.0,29.0,-12.0,,,5.83
usage,2025-07-01,784.0,9.0,754.0,21.0,-12.0,,-1.0,2.31
usage,2025-08-01,790.0,4.0,771.0,14.0,-13.0,1.0,,1.46
usage,2025-09-01,843.0,33.0,771.0,39.0,-14.0,,-5.0,3.79
usage,2025-10-01,852.0,19.0,809.0,24.0,-31.0,,-3.0,1.26
usage,2025-11-01,856.0,3.0,829.0,24.0,-22.0,,-1.0,1.17
usage,2025-12-01,874.0,19.0,839.0,16.0,-17.0,,,2.06
usage,2026-01-01,900.0,17.0,858.0,25.0,-16.0,,,2.63
usage,2026-02-01,863.0,64.0,786.0,13.0,-102.0,,-12.0,0.68
usage,2026-03-01,872.0,22.0,831.0,19.0,-32.0,,,1.28
usage,2026-04-01,855.0,5.0,832.0,18.0,-26.0,,-14.0,0.57
usage,2026-05-01,819.0,4.0,796.0,19.0,-14.0,,-45.0,0.39
usage,2026-06-01,871.0,72.0,785.0,14.0,-20.0,,-14.0,2.53
usage,2026-07-01,861.0,5.0,833.0,23.0,-14.0,,-24.0,0.74
usage,2026-08-01,875.0,14.0,829.0,32.0,-24.0,,-8.0,1.44
